Sygnatura czasowa,Gry regularne,Zainteresowanie e-sport,Zainteresowanie turniej,Czy udzia³,Gry turniej,Dru¿yny,P³eæ,Wiek,Wydzia³,Czy poda³ mail
5/5/2017 14:21:17,Counter-Strike: Global Offensive,Tak ogl¹dam livestreamy z rozgrywek,"Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",FALSE,Counter-Strike: Global Offensive,Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,18,Instytut Anglistyki,FALSE
5/3/2017 13:34:37,"Hearthstone, League of legends",Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,League of legends,Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,18,"Matematyki, Informatyki i Mechaniki",FALSE
5/4/2017 19:56:28,"Hearthstone, League of legends, Counter-Strike: Global Offensive, Starcraft 2","Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"League of legends, Counter-Strike: Global Offensive","Mia³bym/mia³abym czêœæ dru¿yny do League of legends, Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive, Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive",Mê¿czyzna,19,Filozofii i Socjologii,FALSE
5/3/2017 12:48:13,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,19,Fizyki,FALSE
5/5/2017 10:26:56,"Hearthstone, League of legends",Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,"Hearthstone, League of legends",Mia³bym/mia³abym czêœæ dru¿yny do League of legends,Mê¿czyzna,19,Instytut Archeologii ,TRUE
5/2/2017 18:04:23,Quake Live,Nie interesuje siê e-sportem,"Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"Counter-Strike: Global Offensive, Quake Live",Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",FALSE
5/2/2017 18:11:21,"League of legends, Counter-Strike: Global Offensive, Heroes of Might and Magic 3",Tak ogl¹dam livestreamy z rozgrywek,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"League of legends, Heroes of Might and Magic 3",Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",TRUE
5/2/2017 18:18:37,Heroes of Might and Magic 3,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,TRUE,Heroes of Might and Magic 3,Nie dotyczy,Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",FALSE
5/2/2017 18:25:13,Nie gram w nic regularnie,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,"Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"League of legends, Counter-Strike: Global Offensive","Nie mia³bym/mia³abym dru¿yny do League of legends, Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive",Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",FALSE
5/2/2017 19:22:40,Dota 2,Tak ogl¹dam livestreamy z rozgrywek,Œledzi³bym/œledzi³abym wyniki,TRUE,Dota 2,Nie mia³bym/mia³abym dru¿yny do Dota 2,Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",FALSE
5/2/2017 21:42:37,"Overwatch, Hearthstone, Counter-Strike: Global Offensive",Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,"Overwatch, Hearthstone",Nie mia³bym/mia³abym dru¿yny do Overwatch,Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",TRUE
5/3/2017 11:01:42,League of legends,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Œledzi³bym/œledzi³abym wyniki,FALSE,"League of legends, Counter-Strike: Global Offensive",Mia³bym/mia³abym czêœæ dru¿yny do League of legends,Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",TRUE
5/3/2017 14:21:55,Heroes of Might and Magic 3,Nie interesuje siê e-sportem,"Œledzi³bym/œledzi³abym wyniki, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"Heroes of Might and Magic 3, Heroes of Might and Magic 5","Mia³bym/mia³abym ca³¹ dru¿ynê do Heroes of Might and Magic 3, Mia³bym/mia³abym ca³¹ dru¿ynê do Heroes of Might and Magic 5",Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",FALSE
5/4/2017 16:44:31,Dota 2,Nie interesuje siê e-sportem,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Dota 2,Nie mia³bym/mia³abym dru¿yny do Dota 2,Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",FALSE
5/3/2017 19:20:06,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,19,Miêdzywydzia³owe Indywidualne Studia Matematyczno-Przyrodnicze,FALSE
5/5/2017 1:45:31,"League of legends, Starcraft 2 ",Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek,TRUE,Starcraft 2,Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,19,Miêdzywydzia³owe Indywidualne Studia Matematyczno-Przyrodnicze,FALSE
5/4/2017 16:38:15,Nie gram w nic regularnie,Nie wiem co to e-sport,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,19,Nauk Politycznych i Stosunków Miêdzynarodowych,FALSE
5/4/2017 23:11:03,Nie gram w nic regularnie,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Nie interesowa³oby mnie to,TRUE,FIFA ,Nie dotyczy,Mê¿czyzna,19,Nauk Politycznych i Stosunków Miêdzynarodowych,FALSE
5/4/2017 19:36:37,Nie gram w nic regularnie,Nie wiem co to e-sport,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,19,Pedagogiczny,FALSE
5/5/2017 1:25:17,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,19,Pedagogiczny,FALSE
5/7/2017 23:11:51,"League of legends, Counter-Strike: Global Offensive","Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"League of legends, Counter-Strike: Global Offensive",Mia³bym/mia³abym czêœæ dru¿yny do League of legends,Kobieta,19,Uniwersyteckie Kolegium Kszta³cenia Nauczycieli Jêzyka Angielskiego,TRUE
5/8/2017 6:32:45,League of legends,Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,League of legends,Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,19,Uniwersyteckie Kolegium Kszta³cenia Nauczycieli Jêzyka Angielskiego,FALSE
5/2/2017 18:01:24,Nie gram w nic regularnie,Nie wiem co to e-sport,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,19,Zarz¹dzania,FALSE
5/3/2017 9:31:02,League of legends,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,"League of legends, Counter-Strike: Global Offensive","Mia³bym/mia³abym ca³¹ dru¿ynê do League of legends, Mia³bym/mia³abym ca³¹ dru¿ynê do Counter-Strike: Global Offensive",Mê¿czyzna,19,Zarz¹dzania,FALSE
5/8/2017 9:24:03,Counter-Strike: Global Offensive,Tak œledzê wyniki dru¿yn e-sportowych,Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek,TRUE,Counter-Strike: Global Offensive,Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,19,Zarz¹dzania,FALSE
5/7/2017 18:19:49,Nie gram w nic regularnie,Tak ogl¹dam livestreamy z rozgrywek,Œledzi³bym/œledzi³abym wyniki,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,20,Biologii,FALSE
5/4/2017 13:57:45,"Hearthstone, League of legends","Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,League of legends,Mia³bym/mia³abym czêœæ dru¿yny do League of legends,Mê¿czyzna,20,Filozofii i Socjologii,FALSE
5/6/2017 9:17:43,Hearthstone,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,FALSE,"Overwatch, Hearthstone",Mia³bym/mia³abym ca³¹ dru¿ynê do Counter-Strike: Global Offensive,Mê¿czyzna,20,Filozofii i Socjologii,FALSE
5/3/2017 13:12:00,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,20,Fizyki,FALSE
5/4/2017 20:30:49,Counter-Strike: Global Offensive,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Counter-Strike: Global Offensive,Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,20,Geografii i Studiów Regionalnych,TRUE
5/7/2017 18:37:58,FIFA,Nie interesuje siê e-sportem,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,FALSE,FIFA,Nie dotyczy,Mê¿czyzna,20,Geografii i Studiów Regionalnych,FALSE
5/4/2017 14:50:50,"Starcraft 2, Heroes of the Storm",Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek",TRUE,"Heroes of the Storm, StarCraft 2",Nie mia³abym/mia³abym dru¿yny do Heroes of the Storm,Kobieta,20,Geologii,TRUE
5/8/2017 11:59:12,Counter-Strike: Global Offensive,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek",Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Counter-Strike: Global Offensive,Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,20,Geologii,FALSE
5/7/2017 21:52:18,Overwatch,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"Overwatch, Counter-Strike: Global Offensive","Nie mia³bym/mia³abym dru¿yny do Overwatch, Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive",Mê¿czyzna,20,Instytut Anglistyki,FALSE
5/8/2017 13:27:03,League of legends,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek",TRUE,League of legends,Mia³bym/mia³abym czêœæ dru¿yny do League of legends,Kobieta,20,Instytut Komunikacji Specjalistycznej i Interkulturowej,TRUE
5/4/2017 14:49:47,WiedŸmin,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek,TRUE,Gwint,Nie dotyczy,Kobieta,20,Instytut Lingwistyki Stosowanej,FALSE
5/4/2017 22:46:40,Hearthstone,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Hearthstone,Nie mia³bym/mia³abym dru¿yny do League of legends,Kobieta,20,Instytut Nauk Politycznych,TRUE
5/7/2017 18:56:12,League of legends,Tak ogl¹dam livestreamy z rozgrywek,"Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,League of legends,Nie mia³bym/mia³abym dru¿yny do League of legends,Kobieta,20,Instytut Profilaktyki Spo³ecznej i Resocjalizacji,FALSE
5/2/2017 18:26:17,Nie gram w nic regularnie,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"League of legends, Counter-Strike: Global Offensive","Mia³bym/mia³abym czêœæ dru¿yny do League of legends, Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive",Mê¿czyzna,20,"Matematyki, Informatyki i Mechaniki",TRUE
5/2/2017 18:50:58,Counter-Strike: Global Offensive,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek",Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Counter-Strike: Global Offensive,Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,20,"Matematyki, Informatyki i Mechaniki",FALSE
5/2/2017 19:34:33,Counter-Strike: Global Offensive,Tak œledzê wyniki dru¿yn e-sportowych,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Counter-Strike: Global Offensive,Mia³bym/mia³abym ca³¹ dru¿ynê do Counter-Strike: Global Offensive,Mê¿czyzna,20,"Matematyki, Informatyki i Mechaniki",FALSE
5/2/2017 19:35:30,"Dota 2, Paladins  ",Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Dota 2,Mia³bym/mia³abym ca³¹ dru¿ynê do Dota 2,Mê¿czyzna,20,"Matematyki, Informatyki i Mechaniki",FALSE
5/2/2017 19:40:32,Counter-Strike: Global Offensive,Tak œledzê wyniki dru¿yn e-sportowych,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Counter-Strike: Global Offensive,Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,20,"Matematyki, Informatyki i Mechaniki",TRUE
5/2/2017 20:58:08,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,20,"Matematyki, Informatyki i Mechaniki",FALSE
5/3/2017 10:16:04,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,20,"Matematyki, Informatyki i Mechaniki",FALSE
5/3/2017 14:24:55,World of Warcraft,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,World of Warcraft,Mia³bym/mia³abym ca³¹ dru¿ynê do World of Warcraft,Mê¿czyzna,20,"Matematyki, Informatyki i Mechaniki",FALSE
5/3/2017 14:29:40,Heroes of the Storm,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Heroes of the Storm,Nie mia³bym/mia³abym dru¿yny do Heros of the Storm,Mê¿czyzna,20,"Matematyki, Informatyki i Mechaniki",FALSE
5/3/2017 21:55:25,Nie gram w nic regularnie,"Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport, Nie interesuje siê e-sportem",Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,20,"Matematyki, Informatyki i Mechaniki",FALSE
5/3/2017 23:04:00,Nie gram w nic regularnie,Tak ogl¹dam livestreamy z rozgrywek,Œledzi³bym/œledzi³abym wyniki,TRUE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,20,"Matematyki, Informatyki i Mechaniki",FALSE
5/4/2017 9:55:41,"Counter-Strike: Global Offensive, Starcraft 2","Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Starcraft 2,Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,20,"Matematyki, Informatyki i Mechaniki",FALSE
5/5/2017 15:52:57,"Overwatch, League of legends, XCOM, Warhammer 40000: Dawn of War II","Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"Overwatch, League of legends","Nie mia³bym/mia³abym dru¿yny do Overwatch, Nie mia³bym/mia³abym dru¿yny do League of legends",Mê¿czyzna,20,"Matematyki, Informatyki i Mechaniki",FALSE
5/7/2017 12:36:40,Counter-Strike: Global Offensive,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,"Œledzi³bym/œledzi³abym wyniki, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Counter-Strike: Global Offensive,Mia³bym/mia³abym ca³¹ dru¿ynê do Counter-Strike: Global Offensive,Mê¿czyzna,20,"Matematyki, Informatyki i Mechaniki",FALSE
5/3/2017 14:33:15,Dota 2,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek",Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Dota 2,Mia³bym/mia³abym czêœæ dru¿yny do Dota 2,Mê¿czyzna,20,"Matematyki, Informatyki i Mechaniki",TRUE
5/2/2017 19:57:03,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,20,Nauk Ekonomicznych,FALSE
5/4/2017 14:29:09,League of legends,Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,League of legends,Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,20,Nauk Ekonomicznych,TRUE
5/4/2017 19:00:10,Overwatch,Nie interesuje siê e-sportem,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Overwatch,Nie mia³bym/mia³abym dru¿yny do Overwatch,Mê¿czyzna,20,Nauk Ekonomicznych,FALSE
5/5/2017 0:57:39,Nie gram w nic regularnie,Tak ogl¹dam livestreamy z rozgrywek,Nie interesowa³oby mnie to,FALSE,League of legends,Mia³bym/mia³abym czêœæ dru¿yny do League of legends,Mê¿czyzna,20,Nauk Ekonomicznych,FALSE
5/7/2017 18:34:51,"Overwatch, Hearthstone",Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,"Overwatch, Hearthstone",Nie mia³bym/mia³abym dru¿yny do Overwatch,Mê¿czyzna,20,Nauk Ekonomicznych,TRUE
5/7/2017 21:29:39,Counter-Strike: Global Offensive,Tak œledzê wyniki dru¿yn e-sportowych,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"Overwatch, Counter-Strike: Global Offensive",Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,20,Nauk Ekonomicznych,FALSE
5/7/2017 23:30:13,Nie gram w nic regularnie,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,20,Nauk Ekonomicznych,FALSE
5/5/2017 17:44:03,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,20,Nauk Politycznych i Stosunków Miêdzynarodowych,FALSE
5/7/2017 0:29:43,Counter-Strike: Global Offensive,Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Counter-Strike: Global Offensive,Mia³bym/mia³abym ca³¹ dru¿ynê do Counter-Strike: Global Offensive,Mê¿czyzna,20,Nauk Politycznych i Stosunków Miêdzynarodowych,TRUE
5/8/2017 20:25:01,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,TRUE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,20,Nauk Politycznych i Stosunków Miêdzynarodowych,FALSE
5/7/2017 18:24:16,"Starcraft 2, The Elder Scrolls V: Skyrim",Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Œledzi³bym/œledzi³abym wyniki,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,20,Neofilologii,FALSE
5/4/2017 16:10:18,"WiedŸmin, Star Wars Battlefront",Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,FALSE,"WiedŸmin, Star Wars Battlefront",Nie dotyczy,Kobieta,20,Instytut Anglistyki,TRUE
