Sygnatura czasowa,Gry regularne,Zainteresowanie e-sport,Zainteresowanie turniej,Czy udzia³,Gry turniej,Dru¿yny,P³eæ,Wiek,Wydzia³,Czy poda³ mail
5/2/2017 18:44:09,"Hearthstone, League of legends, Counter-Strike: Global Offensive","Tak ogl¹dam livestreamy z rozgrywek, Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"League of legends, Counter-Strike: Global Offensive","Mia³bym/mia³abym ca³¹ dru¿ynê do League of legends, Mia³bym/mia³abym ca³¹ dru¿ynê do Counter-Strike: Global Offensive",Mê¿czyzna,21,Zarz¹dzania,TRUE
5/2/2017 18:49:19,Overwatch,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,"Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Overwatch,Nie mia³bym/mia³abym dru¿yny do Overwatch,Mê¿czyzna,21,Zarz¹dzania,FALSE
5/2/2017 19:03:31,"Hearthstone, League of legends",Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,"Hearthstone, League of legends",Mia³bym/mia³abym ca³¹ dru¿ynê do League of legends,Mê¿czyzna,21,Zarz¹dzania,FALSE
5/2/2017 20:39:07,Hearthstone,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,21,Zarz¹dzania,TRUE
5/2/2017 22:40:42,Counter-Strike: Global Offensive,Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Counter-Strike: Global Offensive,Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,21,Zarz¹dzania,TRUE
5/2/2017 23:34:43,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,21,Zarz¹dzania,FALSE
5/3/2017 20:25:37,"League of legends, Counter-Strike: Global Offensive",Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,"League of legends, Counter-Strike: Global Offensive","Mia³bym/mia³abym czêœæ dru¿yny do League of legends, Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive",Mê¿czyzna,21,Zarz¹dzania,TRUE
5/7/2017 22:03:56,Counter-Strike: Global Offensive,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek",Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Counter-Strike: Global Offensive,Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,21,Zarz¹dzania,TRUE
5/8/2017 20:16:40,"Overwatch, Hearthstone, League of legends",Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"Hearthstone, League of legends",Mia³bym/mia³abym czêœæ dru¿yny do League of legends,Mê¿czyzna,21,Zarz¹dzania,FALSE
5/7/2017 18:36:37,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,FIFA,Nie dotyczy,Mê¿czyzna,22,Centrum Studiów Latynoamerykañskich ,FALSE
5/4/2017 22:03:46,League of legends,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,League of legends,Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,22,Chemii,FALSE
5/6/2017 14:29:12,"Counter-Strike: Global Offensive, Rocket League","Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek",Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,"Counter-Strike: Global Offensive, Rocket League","Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive, Mia³bym/mia³abym czêœæ dru¿yny do Rocket League",Mê¿czyzna,22,"Dziennikarstwa, Informacji i Bibliologii",TRUE
5/6/2017 14:41:01,"Rocket League, Tom Clancy’s Rainbow Six Siege",Tak ogl¹dam livestreamy z rozgrywek,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"League of legends, Counter-Strike: Global Offensive, Rocket League","Mia³bym/mia³abym ca³¹ dru¿ynê do League of legends, Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive",Mê¿czyzna,22,"Dziennikarstwa, Informacji i Bibliologii",FALSE
5/6/2017 15:52:30,Hearthstone,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Œledzi³bym/œledzi³abym wyniki,TRUE,Hearthstone,Nie dotyczy,Mê¿czyzna,22,"Dziennikarstwa, Informacji i Bibliologii",FALSE
5/8/2017 11:19:43,Nie gram w nic regularnie,Nie wiem co to e-sport,Nie interesowa³oby mnie to,TRUE,Nie dotyczy,Nie dotyczy,Kobieta,22,"Dziennikarstwa, Informacji i Bibliologii",FALSE
5/7/2017 19:14:43,"Hearthstone, Dota 2","Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"Hearthstone, League of legends, Counter-Strike: Global Offensive","Mia³bym/mia³abym czêœæ dru¿yny do League of legends, Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive",Mê¿czyzna,22,Fizyki,FALSE
5/7/2017 22:33:21,Nie gram w nic regularnie,Nie wiem co to e-sport,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,22,Instytut Profilaktyki Spo³ecznej i Resocjalizacji,FALSE
5/2/2017 19:42:50,Overwatch,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Overwatch,Mia³bym/mia³abym czêœæ dru¿yny do Overwatch,Mê¿czyzna,22,"Matematyki, Informatyki i Mechaniki",TRUE
5/2/2017 21:44:47,Call of Duty,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Call of Duty,Nie mia³bym/mia³abym dru¿yny do Call of Duty,Mê¿czyzna,22,"Matematyki, Informatyki i Mechaniki",FALSE
5/2/2017 23:13:18,Nie gram w nic regularnie,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,22,"Matematyki, Informatyki i Mechaniki",FALSE
5/3/2017 0:08:50,Hearthstone,Nie interesuje siê e-sportem,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Hearthstone,Nie dotyczy,Mê¿czyzna,22,"Matematyki, Informatyki i Mechaniki",TRUE
5/3/2017 11:17:54,Dota 2,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Dota 2,Mia³bym/mia³abym ca³¹ dru¿ynê do Dota 2,Mê¿czyzna,22,"Matematyki, Informatyki i Mechaniki",FALSE
5/3/2017 21:05:50,Overwatch,"Tak ogl¹dam livestreamy z rozgrywek, Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"Overwatch, League of legends","Mia³bym/mia³abym ca³¹ dru¿ynê do Overwatch, Mia³bym/mia³abym ca³¹ dru¿ynê do League of legends, Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive",Mê¿czyzna,22,"Matematyki, Informatyki i Mechaniki",FALSE
5/3/2017 23:57:51,Nie gram w nic regularnie,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,22,"Matematyki, Informatyki i Mechaniki",FALSE
5/4/2017 23:49:34,League of legends,Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,League of legends,Mia³bym/mia³abym ca³¹ dru¿ynê do League of legends,Mê¿czyzna,22,"Matematyki, Informatyki i Mechaniki",TRUE
5/7/2017 18:22:11,"Hearthstone, Counter-Strike: Global Offensive","Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"Hearthstone, Counter-Strike: Global Offensive",Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,22,Nauk Ekonomicznych,TRUE
5/6/2017 23:37:05,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,22,Nauk Politycznych i Stosunków Miêdzynarodowych,FALSE
5/7/2017 21:37:39,Nie gram w nic regularnie,Nie wiem co to e-sport,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,22,Neofilologii,TRUE
5/5/2017 12:41:28,"Hearthstone, League of legends",Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,"League of legends, Counter-Strike: Global Offensive","Mia³bym/mia³abym czêœæ dru¿yny do Overwatch, Mia³bym/mia³abym czêœæ dru¿yny do League of legends, Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive",Mê¿czyzna,22,Orientalistyczny,TRUE
5/8/2017 13:26:46,Nie gram w nic regularnie,"Nie interesuje siê e-sportem, Nie wiem co to e-sport",Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,22,Pedagogiczny,FALSE
5/2/2017 17:58:37,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,22,Zarz¹dzania,FALSE
5/3/2017 11:54:09,League of legends,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek",Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,League of legends,Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,22,Zarz¹dzania,TRUE
5/8/2017 12:57:28,Hearthstone,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Hearthstone,Nie dotyczy,Mê¿czyzna,22,Zarz¹dzania,FALSE
5/8/2017 20:16:00,Nie gram w nic regularnie,"Nie interesuje siê e-sportem, Nie wiem co to e-sport",Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,22,Zarz¹dzania,FALSE
5/3/2017 9:11:08,League of legends,Nie interesuje siê e-sportem,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,League of legends,Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,22,Zarz¹dzania,FALSE
5/8/2017 12:44:14,Counter-Strike: Global Offensive,Tak œledzê wyniki dru¿yn e-sportowych,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Counter-Strike: Global Offensive,Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,23,"Dziennikarstwa, Informacji i Bibliologii",FALSE
5/5/2017 1:32:17,"Hearthstone, Counter-Strike: Global Offensive",Tak œledzê wyniki dru¿yn e-sportowych,Œledzi³bym/œledzi³abym wyniki,TRUE,"Hearthstone, Counter-Strike: Global Offensive",Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,23,Geografii i Studiów Regionalnych,FALSE
5/8/2017 12:21:53,Nie gram w nic regularnie,"Nie interesuje siê e-sportem, Nie wiem co to e-sport",Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,23,Germanistyki,FALSE
5/7/2017 18:49:21,"Hearthstone, Battlefield",Nie interesuje siê e-sportem,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Hearthstone,Nie dotyczy,Mê¿czyzna,23,Instytut Historyczny,TRUE
5/7/2017 23:16:41,"Overwatch, Hearthstone, Heroes of the Storm",Tak ogl¹dam livestreamy z rozgrywek,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"Overwatch, Hearthstone",Nie mia³bym/mia³abym dru¿yny do Overwatch,Mê¿czyzna,23,Instytut Historyczny,FALSE
5/5/2017 10:17:51,"Overwatch, League of legends",Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,League of legends,Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,23,Instytut Komunikacji Specjalistycznej i Interkulturowej,FALSE
5/2/2017 18:29:50,Crypt of Necrodancer,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Œledzi³bym/œledzi³abym wyniki,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,23,"Matematyki, Informatyki i Mechaniki",FALSE
5/2/2017 21:28:59,Dota 2,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Dota 2,Mia³bym/mia³abym ca³¹ dru¿ynê do Dota 2,Mê¿czyzna,23,"Matematyki, Informatyki i Mechaniki",TRUE
5/2/2017 22:03:24,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,23,"Matematyki, Informatyki i Mechaniki",FALSE
5/3/2017 22:17:04,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,23,"Matematyki, Informatyki i Mechaniki",FALSE
5/7/2017 22:17:22,Gwint,"Tak œledzê wyniki dru¿yn e-sportowych, Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport",Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Gwint,Nie dotyczy,Mê¿czyzna,23,Nauk Ekonomicznych,FALSE
5/7/2017 18:28:38,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,23,Nauk Politycznych i Stosunków Miêdzynarodowych,FALSE
5/7/2017 18:32:09,Nie gram w nic regularnie,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,World of Tanks,Nie dotyczy,Mê¿czyzna,23,Nauk Politycznych i Stosunków Miêdzynarodowych,FALSE
5/8/2017 10:29:15,League of legends,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,League of legends,Mia³bym/mia³abym ca³¹ dru¿ynê do League of legends,Mê¿czyzna,23,Prawa i Administracji,TRUE
5/4/2017 20:20:40,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,23,Psychologii,FALSE
5/7/2017 19:17:14,Counter-Strike: Global Offensive,Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Counter-Strike: Global Offensive,"Mia³bym/mia³abym ca³¹ dru¿ynê do Counter-Strike: Global Offensive, Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive",Mê¿czyzna,23,Zarz¹dzania,FALSE
5/6/2017 14:47:40,Counter-Strike: Global Offensive,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Counter-Strike: Global Offensive,Mia³bym/mia³abym ca³¹ dru¿ynê do Counter-Strike: Global Offensive,Mê¿czyzna,24,Geografii i Studiów Regionalnych,TRUE
5/4/2017 15:22:01,Nie gram w nic regularnie,Nie wiem co to e-sport,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,24,Instytut Komunikacji Specjalistycznej i Interkulturowej,FALSE
5/2/2017 18:54:38,Hearthstone,Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Hearthstone,Nie dotyczy,Mê¿czyzna,24,"Matematyki, Informatyki i Mechaniki",TRUE
5/2/2017 19:47:16,League of legends,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek",Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,League of legends,Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,24,"Matematyki, Informatyki i Mechaniki",TRUE
5/2/2017 20:56:50,Dota 2,Tak ogl¹dam livestreamy z rozgrywek,"Œledzi³bym/œledzi³abym wyniki, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Dota 2,Mia³bym/mia³abym ca³¹ dru¿ynê do Dota 2,Mê¿czyzna,24,"Matematyki, Informatyki i Mechaniki",FALSE
5/4/2017 19:19:26,Dota 2,Tak œledzê wyniki dru¿yn e-sportowych,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,Dota 2,Mia³bym/mia³abym ca³¹ dru¿ynê do Dota 2,Mê¿czyzna,24,"Matematyki, Informatyki i Mechaniki",FALSE
5/4/2017 20:24:12,"League of legends, Counter-Strike: Global Offensive",Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,"League of legends, Counter-Strike: Global Offensive","Nie mia³bym/mia³abym dru¿yny do League of legends, Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive",Mê¿czyzna,24,"Matematyki, Informatyki i Mechaniki",FALSE
5/5/2017 10:52:47,League of legends,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,League of legends,Mia³bym/mia³abym czêœæ dru¿yny do League of legends,Mê¿czyzna,24,Psychologii,TRUE
5/2/2017 19:05:16,Nie gram w nic regularnie,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek",Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,FALSE,Counter-Strike: Global Offensive,Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,25,"Matematyki, Informatyki i Mechaniki",FALSE
5/2/2017 19:50:21,Starcraft 2,"Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,Starcraft 2,Nie dotyczy,Mê¿czyzna,25,"Matematyki, Informatyki i Mechaniki",TRUE
5/6/2017 22:25:00,Nie gram w nic regularnie,Nie wiem co to e-sport,Nie interesowa³oby mnie to,TRUE,Nie dotyczy,Nie dotyczy,Kobieta,25,Zarz¹dzania,FALSE
5/3/2017 14:57:27,"Overwatch, Hearthstone, League of legends","Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"Hearthstone, League of legends",Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,25,Zarz¹dzania,TRUE
5/2/2017 23:05:01,Nie gram w nic regularnie,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek,TRUE,FIFA,Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,26,"Matematyki, Informatyki i Mechaniki",FALSE
5/3/2017 1:00:41,League of legends,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek",TRUE,League of legends,Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,26,Psychologii,TRUE
5/4/2017 13:34:33,League of legends,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,League of legends,Mia³bym/mia³abym czêœæ dru¿yny do League of legends,Kobieta,28,Psychologii,FALSE
5/3/2017 10:06:26,World of Tanks,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,28,Zarz¹dzania,FALSE
5/7/2017 19:18:42,"Counter-Strike: Global Offensive, Heroes of the Storm",Tak ogl¹dam livestreamy z rozgrywek,Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek,TRUE,Counter-Strike: Global Offensive,Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Kobieta,28,Zarz¹dzania,FALSE
5/4/2017 17:19:22,Nie gram w nic regularnie,Nie wiem co to e-sport,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Kobieta,37,Uniwersyteckie Kolegium Kszta³cenia Nauczycieli Jêzyka Francuskiego,FALSE
