id_przech_odp_zainteresowanie_esport,id_odp,id_zainteresowanie_esport,Zainteresowanie e-sport
1,1,4,Tak oglądam livestreamy z rozgrywek
2,2,4,Tak oglądam livestreamy z rozgrywek
3,3,5,Tak śledzę wyniki drużyn e-sportowych
4,3,4,Tak oglądam livestreamy z rozgrywek
5,4,1,Nie interesuje się e-sportem
6,5,4,Tak oglądam livestreamy z rozgrywek
7,6,1,Nie interesuje się e-sportem
8,7,4,Tak oglądam livestreamy z rozgrywek
9,8,1,Nie interesuje się e-sportem
10,9,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
11,10,4,Tak oglądam livestreamy z rozgrywek
12,11,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
13,12,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
14,13,1,Nie interesuje się e-sportem
15,14,1,Nie interesuje się e-sportem
16,15,1,Nie interesuje się e-sportem
17,16,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
18,17,2,Nie wiem co to e-sport
19,18,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
20,19,2,Nie wiem co to e-sport
21,20,1,Nie interesuje się e-sportem
22,21,5,Tak śledzę wyniki drużyn e-sportowych
23,21,4,Tak oglądam livestreamy z rozgrywek
24,22,4,Tak oglądam livestreamy z rozgrywek
25,23,2,Nie wiem co to e-sport
26,24,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
27,25,5,Tak śledzę wyniki drużyn e-sportowych
28,26,4,Tak oglądam livestreamy z rozgrywek
29,27,5,Tak śledzę wyniki drużyn e-sportowych
30,27,4,Tak oglądam livestreamy z rozgrywek
31,28,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
32,29,1,Nie interesuje się e-sportem
33,30,5,Tak śledzę wyniki drużyn e-sportowych
34,30,4,Tak oglądam livestreamy z rozgrywek
35,31,1,Nie interesuje się e-sportem
36,32,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
37,33,5,Tak śledzę wyniki drużyn e-sportowych
38,33,4,Tak oglądam livestreamy z rozgrywek
39,34,5,Tak śledzę wyniki drużyn e-sportowych
40,34,4,Tak oglądam livestreamy z rozgrywek
41,35,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
42,36,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
43,37,5,Tak śledzę wyniki drużyn e-sportowych
44,37,4,Tak oglądam livestreamy z rozgrywek
45,38,4,Tak oglądam livestreamy z rozgrywek
46,39,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
47,40,5,Tak śledzę wyniki drużyn e-sportowych
48,40,4,Tak oglądam livestreamy z rozgrywek
49,41,5,Tak śledzę wyniki drużyn e-sportowych
50,42,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
51,43,5,Tak śledzę wyniki drużyn e-sportowych
52,44,1,Nie interesuje się e-sportem
53,45,1,Nie interesuje się e-sportem
54,46,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
55,47,5,Tak śledzę wyniki drużyn e-sportowych
56,47,4,Tak oglądam livestreamy z rozgrywek
57,48,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
58,48,1,Nie interesuje się e-sportem
59,49,4,Tak oglądam livestreamy z rozgrywek
60,50,5,Tak śledzę wyniki drużyn e-sportowych
61,50,4,Tak oglądam livestreamy z rozgrywek
62,51,5,Tak śledzę wyniki drużyn e-sportowych
63,51,4,Tak oglądam livestreamy z rozgrywek
64,52,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
65,53,5,Tak śledzę wyniki drużyn e-sportowych
66,53,4,Tak oglądam livestreamy z rozgrywek
67,54,1,Nie interesuje się e-sportem
68,55,4,Tak oglądam livestreamy z rozgrywek
69,56,1,Nie interesuje się e-sportem
70,57,4,Tak oglądam livestreamy z rozgrywek
71,58,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
72,59,5,Tak śledzę wyniki drużyn e-sportowych
73,60,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
74,61,1,Nie interesuje się e-sportem
75,62,4,Tak oglądam livestreamy z rozgrywek
76,63,1,Nie interesuje się e-sportem
77,64,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
78,65,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
79,66,5,Tak śledzę wyniki drużyn e-sportowych
80,66,4,Tak oglądam livestreamy z rozgrywek
81,67,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
82,68,1,Nie interesuje się e-sportem
83,69,5,Tak śledzę wyniki drużyn e-sportowych
84,69,4,Tak oglądam livestreamy z rozgrywek
85,70,1,Nie interesuje się e-sportem
86,71,1,Nie interesuje się e-sportem
87,72,5,Tak śledzę wyniki drużyn e-sportowych
88,72,4,Tak oglądam livestreamy z rozgrywek
89,73,2,Nie wiem co to e-sport
90,74,4,Tak oglądam livestreamy z rozgrywek
91,75,4,Tak oglądam livestreamy z rozgrywek
92,76,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
93,77,5,Tak śledzę wyniki drużyn e-sportowych
94,78,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
95,79,5,Tak śledzę wyniki drużyn e-sportowych
96,79,4,Tak oglądam livestreamy z rozgrywek
97,80,4,Tak oglądam livestreamy z rozgrywek
98,81,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
99,82,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
100,83,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
101,84,5,Tak śledzę wyniki drużyn e-sportowych
102,84,4,Tak oglądam livestreamy z rozgrywek
103,85,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
104,86,5,Tak śledzę wyniki drużyn e-sportowych
105,87,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
106,88,2,Nie wiem co to e-sport
107,89,1,Nie interesuje się e-sportem
108,90,5,Tak śledzę wyniki drużyn e-sportowych
109,90,4,Tak oglądam livestreamy z rozgrywek
110,91,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
111,92,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
112,93,5,Tak śledzę wyniki drużyn e-sportowych
113,94,4,Tak oglądam livestreamy z rozgrywek
114,95,5,Tak śledzę wyniki drużyn e-sportowych
115,95,4,Tak oglądam livestreamy z rozgrywek
116,96,2,Nie wiem co to e-sport
117,97,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
118,98,5,Tak śledzę wyniki drużyn e-sportowych
119,98,4,Tak oglądam livestreamy z rozgrywek
120,99,1,Nie interesuje się e-sportem
121,100,1,Nie interesuje się e-sportem
122,101,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
123,102,1,Nie interesuje się e-sportem
124,103,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
125,104,4,Tak oglądam livestreamy z rozgrywek
126,105,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
127,106,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
128,107,4,Tak oglądam livestreamy z rozgrywek
129,108,4,Tak oglądam livestreamy z rozgrywek
130,109,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
131,110,5,Tak śledzę wyniki drużyn e-sportowych
132,111,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
133,112,4,Tak oglądam livestreamy z rozgrywek
134,113,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
135,114,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
136,115,5,Tak śledzę wyniki drużyn e-sportowych
137,115,4,Tak oglądam livestreamy z rozgrywek
138,116,4,Tak oglądam livestreamy z rozgrywek
139,117,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
140,118,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
141,119,4,Tak oglądam livestreamy z rozgrywek
142,120,2,Nie wiem co to e-sport
143,121,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
144,122,5,Tak śledzę wyniki drużyn e-sportowych
145,122,4,Tak oglądam livestreamy z rozgrywek
146,123,4,Tak oglądam livestreamy z rozgrywek
147,124,1,Nie interesuje się e-sportem
148,125,1,Nie interesuje się e-sportem
149,126,4,Tak oglądam livestreamy z rozgrywek
150,127,5,Tak śledzę wyniki drużyn e-sportowych
151,127,4,Tak oglądam livestreamy z rozgrywek
152,128,5,Tak śledzę wyniki drużyn e-sportowych
153,128,4,Tak oglądam livestreamy z rozgrywek
154,129,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
155,130,4,Tak oglądam livestreamy z rozgrywek
156,131,4,Tak oglądam livestreamy z rozgrywek
157,131,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
158,132,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
159,133,4,Tak oglądam livestreamy z rozgrywek
160,134,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
161,135,4,Tak oglądam livestreamy z rozgrywek
162,136,1,Nie interesuje się e-sportem
163,137,4,Tak oglądam livestreamy z rozgrywek
164,138,5,Tak śledzę wyniki drużyn e-sportowych
165,138,4,Tak oglądam livestreamy z rozgrywek
166,139,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
167,140,1,Nie interesuje się e-sportem
168,141,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
169,142,5,Tak śledzę wyniki drużyn e-sportowych
170,142,4,Tak oglądam livestreamy z rozgrywek
171,143,4,Tak oglądam livestreamy z rozgrywek
172,144,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
173,145,2,Nie wiem co to e-sport
174,146,5,Tak śledzę wyniki drużyn e-sportowych
175,146,4,Tak oglądam livestreamy z rozgrywek
176,147,2,Nie wiem co to e-sport
177,148,5,Tak śledzę wyniki drużyn e-sportowych
178,148,4,Tak oglądam livestreamy z rozgrywek
179,149,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
180,150,5,Tak śledzę wyniki drużyn e-sportowych
181,150,4,Tak oglądam livestreamy z rozgrywek
182,151,1,Nie interesuje się e-sportem
183,152,5,Tak śledzę wyniki drużyn e-sportowych
184,152,4,Tak oglądam livestreamy z rozgrywek
185,153,4,Tak oglądam livestreamy z rozgrywek
186,153,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
187,154,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
188,155,4,Tak oglądam livestreamy z rozgrywek
189,156,5,Tak śledzę wyniki drużyn e-sportowych
190,156,4,Tak oglądam livestreamy z rozgrywek
191,157,1,Nie interesuje się e-sportem
192,158,2,Nie wiem co to e-sport
193,159,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
194,160,1,Nie interesuje się e-sportem
195,160,2,Nie wiem co to e-sport
196,161,1,Nie interesuje się e-sportem
197,162,5,Tak śledzę wyniki drużyn e-sportowych
198,162,4,Tak oglądam livestreamy z rozgrywek
199,163,5,Tak śledzę wyniki drużyn e-sportowych
200,163,4,Tak oglądam livestreamy z rozgrywek
201,164,1,Nie interesuje się e-sportem
202,164,2,Nie wiem co to e-sport
203,165,1,Nie interesuje się e-sportem
204,166,5,Tak śledzę wyniki drużyn e-sportowych
205,167,5,Tak śledzę wyniki drużyn e-sportowych
206,168,1,Nie interesuje się e-sportem
207,168,2,Nie wiem co to e-sport
208,169,1,Nie interesuje się e-sportem
209,170,4,Tak oglądam livestreamy z rozgrywek
210,171,4,Tak oglądam livestreamy z rozgrywek
211,172,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
212,173,5,Tak śledzę wyniki drużyn e-sportowych
213,173,4,Tak oglądam livestreamy z rozgrywek
214,174,1,Nie interesuje się e-sportem
215,175,1,Nie interesuje się e-sportem
216,176,5,Tak śledzę wyniki drużyn e-sportowych
217,176,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
218,177,1,Nie interesuje się e-sportem
219,178,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
220,179,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
221,180,1,Nie interesuje się e-sportem
222,181,4,Tak oglądam livestreamy z rozgrywek
223,182,5,Tak śledzę wyniki drużyn e-sportowych
224,182,4,Tak oglądam livestreamy z rozgrywek
225,183,2,Nie wiem co to e-sport
226,184,4,Tak oglądam livestreamy z rozgrywek
227,185,5,Tak śledzę wyniki drużyn e-sportowych
228,185,4,Tak oglądam livestreamy z rozgrywek
229,186,4,Tak oglądam livestreamy z rozgrywek
230,187,5,Tak śledzę wyniki drużyn e-sportowych
231,188,4,Tak oglądam livestreamy z rozgrywek
232,189,5,Tak śledzę wyniki drużyn e-sportowych
233,189,4,Tak oglądam livestreamy z rozgrywek
234,190,5,Tak śledzę wyniki drużyn e-sportowych
235,190,4,Tak oglądam livestreamy z rozgrywek
236,191,5,Tak śledzę wyniki drużyn e-sportowych
237,191,4,Tak oglądam livestreamy z rozgrywek
238,192,2,Nie wiem co to e-sport
239,193,5,Tak śledzę wyniki drużyn e-sportowych
240,193,4,Tak oglądam livestreamy z rozgrywek
241,194,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
242,195,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
243,196,3,Nie śledzę za często wyników lub livestreamów z rozgrywek ale wiem co to esport
244,197,1,Nie interesuje się e-sportem
245,198,4,Tak oglądam livestreamy z rozgrywek
246,199,2,Nie wiem co to e-sport
